WARNING 2025-07-09 05:05:08,010 basehttp 8627 6194753536 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:05:08,011 basehttp 8627 6211579904 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:05:08,042 log 8627 6194753536 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:05:08,043 basehttp 8627 6194753536 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:05:08,049 log 8627 6211579904 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:05:08,049 basehttp 8627 6211579904 "GET /api/dashboard/commission HTTP/1.1" 404 7703
INFO 2025-07-09 05:05:33,809 basehttp 8627 6194753536 "POST /api/auth/login/ HTTP/1.1" 200 264
INFO 2025-07-09 05:05:33,909 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:33,910 basehttp 8627 6194753536 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:05:33,912 basehttp 8627 6228406272 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:05:33,915 basehttp 8627 6194753536 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:05:33,915 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:33,922 basehttp 8627 6228406272 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:05:41,053 basehttp 8627 6228406272 "OPTIONS /api/organizations/ HTTP/1.1" 200 0
INFO 2025-07-09 05:05:41,062 basehttp 8627 6228406272 "GET /api/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:05:43,729 basehttp 8627 6228406272 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:43,732 basehttp 8627 6228406272 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:47,913 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:47,914 basehttp 8627 6228406272 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:05:47,916 basehttp 8627 6194753536 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:05:47,920 basehttp 8627 6228406272 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:05:47,920 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:05:47,924 basehttp 8627 6194753536 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:05:59,071 basehttp 8627 6194753536 "POST /api/organizations/ HTTP/1.1" 201 91
INFO 2025-07-09 05:05:59,150 basehttp 8627 6194753536 "GET /api/organizations/ HTTP/1.1" 200 143
INFO 2025-07-09 05:06:02,987 basehttp 8627 6194753536 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:06:02,990 basehttp 8627 6194753536 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:06:22,853 basehttp 8627 6194753536 "OPTIONS /api/auth/users/ HTTP/1.1" 200 0
WARNING 2025-07-09 05:06:22,879 log 8627 6194753536 Bad Request: /api/auth/users/
WARNING 2025-07-09 05:06:22,879 basehttp 8627 6194753536 "POST /api/auth/users/ HTTP/1.1" 400 114
INFO 2025-07-09 05:06:25,999 basehttp 8627 6194753536 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:06:26,005 basehttp 8627 6194753536 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:10:46,501 autoreload 8627 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/organization/serializers.py changed, reloading.
INFO 2025-07-09 05:10:46,885 autoreload 9320 8654151424 Watching for file changes with StatReloader
WARNING 2025-07-09 05:11:48,588 log 9320 6171406336 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:11:48,589 log 9320 6188232704 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:11:48,589 basehttp 9320 6171406336 "GET /api/dashboard/main HTTP/1.1" 404 7685
